題號,題目,選項1,選項2,選項3,選項4,答案,答案精簡說明
11,某旅行社針對學生族群推出「文創與樂園」行程，針對中高齡者則推出「古蹟巡禮」行程。這種將市場依據需求差異化開發不同產品的做法，符合市場區隔中的哪一項準則？,可衡量性 (Measurability),可接近性 (Accessibility),可行動性 (Actionability),可區別性 (Differentiability),4,"1.正確： 不同區隔對行銷組合有不同反應，即具備可區別性,。<br>2.錯誤： (A)指規模可測；(B)指能接觸受眾；(C)指企業有能力執行，皆非此案例重點。"
12,哈雷機車 (Harley-Davidson) 長期訴求「人一生一定要擁有過哈雷」，在消費者心中成功建立了騎士精神與自由的象徵。這在行銷策略中屬於下列哪一個層次？,市場區隔 (Segmentation),目標市場界定 (Targeting),品牌定位 (Positioning),競爭者分析 (Competitor Analysis),3,"1.正確： 定位是在目標客群心中塑造獨特、有價值的形象,。<br>2.錯誤： (A)(B)是選擇戰場的過程；(D)是外部環境分析，非形象塑造。"
13,某連鎖漢堡店在撰寫行銷企劃書時進行 SWOT 分析，發現其「市場佔有率連續三年下滑」。請問此項因素應如何歸類才正確？,外部威脅 (Threat),外部機會 (Opportunity),內部劣勢 (Weakness),內部優勢 (Strength),3,"1.正確： 市佔率下滑屬於企業內部的績效表現，應歸類為劣勢,。<br>2.錯誤： (A)威脅來自外部（如法規、競爭者）；(B)(D)屬正面因素，與下滑不符。"
14,隨著外送平台（如 Uber Eats）崛起，全聯福利中心推動「小時達」服務以應對消費者「懶人經濟」與「即時需求」的轉變。在 PEST 分析中，這主要屬於哪一面向的變動？,政治環境 (Political),經濟環境 (Economic),社會文化 (Social),科技環境 (Technological),3,"1.正確： 生活型態與消費行為的轉變屬於社會文化 (Social) 面向,。<br>2.錯誤： (A)涉及法規；(B)涉及購買力；(D)涉及技術工具（如 AI），雖技術有助推動，但核心誘因是行為改變。"
15,某化妝品牌在研發新產品前，先透過觀測社群媒體上的討論與政府公開的消費統計資料，這屬於哪一種資料收集方式？,初級資料 (Primary Data),次級資料 (Secondary Data),實驗法 (Experimental Research),深度訪談法 (In-depth Interview),2,"1.正確： 利用現有、非為當下特定研究目的而收集的資料即為次級資料,。<br>2.錯誤： (A)(C)(D)皆為針對特定目的直接收集原始數據的初級資料。"
16,某智慧型手機品牌進入「成熟期」後，發現競爭加劇導致銷售成長緩慢。此時該品牌的整合行銷溝通 (IMC) 重點應轉向何處？,建立品牌知名度與促使試用,強化品牌偏好並擴大市佔率,穩固重複購買與提升顧客忠誠度,減少行銷支出以回收成本,3,"1.正確： 成熟期目標在於最大化利潤並防禦競爭，核心是留住舊客,。<br>2.錯誤： (A)為導入期目標；(B)為成長期目標；(D)為衰退期目標。"
17,根據 BCG 矩陣，若某產品線在「低成長」的市場中擁有「高市場佔有率」，能為企業提供穩定的現金流。該產品線屬於？,明星 (Star),金牛 (Cash Cow),問題兒童 (Question Mark),落水狗 (Dog),2,"1.正確： 金牛事業提供穩健現金流以支持其他部門發展,。<br>2.錯誤： (A)為高成長高市佔；(C)為高成長低市佔；(D)為低成長低市佔。"
18,某知名餐廳在母親節期間推出限量套餐，因部分顧客臨時取消訂位導致備妥的食材損失。此現象具體體現了服務的哪項特性？,無形性 (Intangibility),異質性 (Heterogeneity),易逝性 (Perishability),不可分割性 (Inseparability),3,"1.正確： 服務無法儲存，未使用的產能（如訂位）會隨時間消失造成損失,。<br>2.錯誤： (A)指觸摸不到；(B)指服務品質不一；(D)指生產與消費同時發生。"
19,特斯拉 (Tesla) 為了擴大版圖，決定開發太陽能板產業並提供給既有的電動車主。在安索夫矩陣 (Ansoff Matrix) 中，這屬於哪種策略？,市場滲透 (Market Penetration),市場開發 (Market Development),產品開發 (Product Development),多角化 (Diversification),3,"1.正確： 針對現有市場（電動車主）推出新產品（太陽能板），屬於產品開發,。<br>2.錯誤： (A)為舊產舊市；(B)為舊產新市；(D)為新產新市。"
20,某電商未經知名模特兒同意，直接截取其 IG 照片重新設計成廣告橫幅進行營利。此行為最可能面臨哪兩項法律風險？,專利權、營業秘密法,肖像權、照片攝影師的著作權,商標法、公平交易法,貨物稅條例、消費者保護法,2,1.正確： 未經同意營利使用他人照片侵犯肖像權，且重製照片侵犯原創者的著作權。<br>2.錯誤： (A)(C)(D)與擅自使用人物照片的情境不直接相關。
21,某品牌店家將「紅標禮盒」訂價為 299 元，「綠標禮盒」訂價為 99 元，但若消費者同時購買兩款禮盒，則只需支付 339 元。根據定價策略，此種做法最精確的名稱為何？,產品線定價 (Product-line Pricing),互補品定價 (Captive-product Pricing),綑綁式定價 (Bundling Pricing),撇脂定價 (Skimming Pricing),3,1.正確： 綑綁式定價是將兩件或多件產品組合在一起，以低於單買總和的價格販售以刺激銷量。<br>2.錯誤： (A) 著重於系列產品間的價差；(B) 是指主產品便宜、耗材昂貴（如印表機）；(D) 為新產品上市定高價。
22,某科技品牌推出全球首款「折疊螢幕旗艦手機」時，將售價設定在遠高於市場平均水準的 6 萬元。該公司希望在短期內先獲取那些追求科技創新且願意支付高價的「早期採用者」之利潤。此定價策略屬於？,滲透定價法 (Penetration Pricing),畸零定價法 (Odd Pricing),吸脂定價法 (Skimming Pricing),聲望定價法 (Prestige Pricing),3,1.正確： 吸脂（撇脂）定價法是在新產品上市初期設定高價，從市場中「吸取」最大利潤。<br>2.錯誤： (A) 是初期定低價搶市佔；(B) 是 $199 之類的心理訂價；(D) 雖也定高價，但核心是為了建立長期社會地位象徵。
23,某大型量販店（如家樂福）跳過所有批發商與中盤商，直接與國內農場簽約進貨生鮮，再直接販售給一般消費者。若從通路結構層級分析，此種通路類型屬於？,零階通路 (Zero-level Channel),一階通路 (One-level Channel),二階通路 (Two-level Channel),三階通路 (Three-level Channel),2,1.正確： 製造者與消費者之間存在「一個」中間商（量販店），即為一階通路。<br>2.錯誤： (A) 零階是製造者直售；(C)(D) 分別有兩個與三個以上的中間商層級。
24,某頂級超跑品牌為了維持其品牌的高端形象與服務品質，在全台灣僅授權一家經銷商負責銷售與後續維修，不允許其他通路販售。此種配銷密度策略稱為？,密集配銷 (Intensive Distribution),選擇配銷 (Selective Distribution),獨家配銷 (Exclusive Distribution),多重通路 (Multichannel),3,1.正確： 獨家配銷是指在一定市場區域內僅授權一家中間商經銷，適用於高價、高服務需求的產品。<br>2.錯誤： (A) 追求「到處有售」；(B) 介於兩者之間，選定數家合適通路。
25,某知名桂冠湯圓業者在冬至前夕，透過電視與網路廣告投放「冬至到了，記得回家吃一碗熱湯圓」的溫馨訊息。從廣告目標的分類來看，此廣告最主要的目的是？,告知型廣告 (Informative),說服型廣告 (Persuasive),提醒型廣告 (Reminder),比較型廣告 (Comparison),3,1.正確： 提醒型廣告旨在讓成熟期產品在消費者心中保持熟悉感，促使消費者「想起」要購買。<br>2.錯誤： (A) 旨在介紹新功能；(B) 旨在改變偏好；(D) 旨在與競品做優劣對比。
26,某新創化妝品牌在各大屈臣氏門市舉辦「限時免費試用」活動，現場提供小樣包裝供路過民眾索取。此種透過短期誘因來刺激消費者立即行動或促使試用的手法，屬於推廣組合中的？,廣告 (Advertising),公共關係 (PR),促銷 (Sales Promotion),人員銷售 (Personal Selling),3,1.正確： 促銷旨在提供短期誘因（如免費樣品、折扣）來刺激購買行為。<br>2.錯誤： (A) 為單向訊息傳遞；(B) 旨在建立長遠形象；(D) 強調與消費者面對面深度互動與說服。
27,聯合利華公司（Unilever）同時擁有牙膏、肥皂、洗衣粉、茶包等多個完全不同的產品線。在品牌產品組合管理中，這「多個產品線的數量」代表了該公司產品組合的哪一個維度？,寬度 (Width),長度 (Length),深度 (Depth),一致性 (Consistency),1,1.正確： 產品組合寬度是指企業擁有的產品線（不同類別）的數量。<br>2.錯誤： (B) 是所有產品項目的總數；(C) 是每一項產品的變體數量（如不同口味）。
28,某電商平台在進行雙 11 活動時，將許多商品的特價標籤訂為 999 元，而非 1000 元。這種利用消費者心理產生的「特價印象」或「非整數划算感」的定價法是？,整數定價 (Even Pricing),畸零定價 (Odd Pricing),習慣定價 (Habitual Pricing),聲望定價 (Prestige Pricing),2,1.正確： 畸零定價法透過尾數為 9 或其他奇數，給予消費者心理上的便宜印象。<br>2.錯誤： (A) 常以 0 結尾以顯尊貴或好找零；(C) 是根據市場公認的固定價區間定價。
29,某知名超商連鎖體系（如全家），總部提供品牌、招牌與經營 Know-how，並與加盟主簽訂嚴謹的契約規定雙方權利義務。這種將製造、批發與零售視為一體，高度合作的行銷系統屬於？,企業式垂直行銷系統,契約式垂直行銷系統,管理式垂直行銷系統,水平行銷系統,2,1.正確： 契約式 VMS 是指通路成員透過合約形式結合，連鎖加盟店是最典型的代表。<br>2.錯誤： (A) 是透過所有權統一（一條龍）；(C) 是透過其中一方的權力影響（無合約）。
30,整合行銷傳播 (IMC) 的核心在於各項行銷工具的協調，若某品牌能根據不同行銷傳播工具（如 FB 貼文、新聞稿、路跑活動）的優劣勢進行評估並加以整合使用，這在 IMC 的七個層次中屬於哪一層？,知覺整合 (Perception),形象整合 (Image),功能整合 (Functional),利益關係人整合,3,1.正確： 功能整合強調評估各行銷工具優劣並加以整合使用，確保訊息傳遞的一致性。<br>2.錯誤： (A) 著重於外部環境回應；(B) 著重於視覺與口頭傳播的統一性。
31,某企業以總預算 2 萬元在 Facebook 投放廣告，目標是吸引用戶註冊。活動結束後獲得 1 萬次曝光、2 千次點擊、200 筆新會員名單。請問該活動的「轉換率 (CVR)」為多少？,2%,10%,20%,5%,2,"1.正確： CVR 公式為「完成期望行動次數 / 點擊次數」，即 200 / 2,000 = 10%。<br>2.錯誤： (A) 誤用曝光數計算；(C)(D) 計算數值有誤。"
32,承上題，該活動「每次完成行動的成本 (CPA)」為何？,2 元,10 元,100 元,200 元,3,"1.正確： CPA 公式為「總成本 / 完成行動次數」，即 20,000 / 200 = 100 元。<br>2.錯誤： (A) 是每次點擊成本 (CPC)；(B) 是點擊除以行動的誤導數值；(D) 計算有誤。"
33,小花在電視看到 A 品牌手機廣告後（Attention），產生興趣（Interest），隨即上 Google 搜尋評價（Search），最後在電商下單（Action）並在 IG 發開箱文（Share）。這完整體現了哪種模型？,AIDA 模型,AIDMA 模型,AISAS 模型,4P 行銷組合,3,1.正確： AISAS 是數位時代特有模型，包含關鍵的「搜尋 (S)」與「分享 (S)」。<br>2.錯誤： (A) 缺乏搜尋與分享；(B) 重點在記憶 (Memory) 而非搜尋；(D) 是行銷工具組合而非行為模型。
34,在數位媒體 POEM 架構中，若品牌透過「網友在 Dcard 的自發性好評」與「新聞媒體的無償報導」獲得曝光。這屬於哪一類媒體？,付費媒體 (Paid),自有媒體 (Owned),賺得媒體 (Earned),社交媒體 (Social),3,1.正確： 賺得媒體指非付費、非品牌自有的第三方自發口碑或報導。<br>2.錯誤： (A) 需花錢購買；(B) 為官網或自營粉專；(D) 雖是管道，但在 POEM 分類中通常屬 Earned 或 Paid。
35,某品牌希望顧客在搜尋「平價運動鞋」時，自家的官方網站能出現在搜尋結果的第一頁，且不打算支付「點擊費用」給搜尋引擎。該品牌應優先執行？,關鍵字廣告 (SEM),搜尋引擎優化 (SEO),再行銷 (Retargeting),橫幅廣告 (Banner),2,1.正確： SEO 旨在改善網站體質以提升「自然搜尋」排名，不需支付點擊費。<br>2.錯誤： (A) 是付費點擊排名；(C) 是針對舊客廣告；(D) 為展示型廣告，與關鍵字排名無關。
36,行銷人員在推廣網址後加上「utm_source=facebook」等參數標籤，其在實務操作上最主要的目的是為了？,提升網站的加載速度,追蹤不同流量來源的成效,增加網站的 Google 排名,避免被駭客攻擊網站,2,1.正確： UTM 參數用於辨識訪客是從哪個管道（如 FB、Email、KOL）進入網站。<br>2.錯誤： (A)(C)(D) 皆與 UTM 的追蹤追蹤導流來源之核心功能不符。
37,某電商發現許多消費者將商品「加入購物車」後卻未結帳。若行銷人員決定對這群「特定的消費者」再次投放廣告以促成結帳，這稱為？,病毒行銷,再行銷 (Retargeting),互動行銷,公共關係,2,1.正確： 再行銷是針對曾與網站互動、有興趣的人精準投放廣告。<br>2.錯誤： (A) 強調快速散播；(C) 指雙向互動；(D) 旨在建立形象而非直接導購。
38,關於 ROI（投資報酬率）與 ROAS（廣告投資報酬率）的判讀，下列敘述何者正確？,ROAS 包含產品成本與人力支出,ROI 能更完整反映公司整體的獲利能力,只要 ROAS 大於 1 企業就一定賺錢,兩者計算方式完全相同,2,1.正確： ROI 考慮總成本，而 ROAS 僅計算廣告花費，因此 ROI 更能反映整體獲利。<br>2.錯誤： (A) ROAS 僅算廣告花費；(C) 沒扣除產品成本前 ROAS 大於 1 仍可能虧損；(D) 邏輯不同。
39,某品牌邀請知名 KOL 拍攝產品使用影片。若該 KOL 粉絲黏著度高且其評價能直接影響粉絲購買意願，這體現了數位行銷中哪種特質？,異質性 (Heterogeneity),權威性 (Authority),人物導向的影響力,無形性 (Intangibility),3,1.正確： 網紅 (Influencer) 行銷是利用個人影響力與信任度推動品牌訊息。<br>2.錯誤： (A)(D) 為服務業特性；(B) 雖有關聯，但「人物導向影響力」更符合 iPAS 對網紅行銷的定義。
40,在金融業數位服務中，確保「交易安全性」與「APP 不當機」是基本底線。根據雙因子理論，這些屬於什麼因子？,激勵因子 (Motivator),保健因子 (Hygiene),核心因子 (Core),延伸因子 (Extended),2,1.正確： 保健因子是「沒有會被罵、有了是應該」的基本底線，如金融安全與系統穩定。<br>2.錯誤： (A) 指超越預期的驚喜；(C)(D) 非雙因子理論中的標準術語。
41,某連鎖咖啡品牌在廣告宣傳「溫暖與陪伴」，但在門市裝修卻使用「冷冽科技感」，導致消費者認知混亂。這違反了整合行銷傳播 (IMC) 的哪項核心原則？,價格低廉化,媒體工具的多樣性,品牌訊息的一致性 (Consistency),產品線的寬度擴張,3,1.正確： IMC 的本質在於「一致性」，確保所有接觸點傳遞的訊息與形象高度統一。<br>2.錯誤： (A)涉及定價；(B)僅指工具數量；(D)屬產品管理策略。
42,某企業內部廣告部與公關部對品牌核心價值的理解不一，導致對外文案風格產生衝突。根據 IMC 的七個層次，該企業應優先解決哪一層級的整合？,功能整合,利益關係人整合,知覺整合 (Perception),關係整合,3,1.正確： 知覺整合是 IMC 的起點，要求企業內部對外部環境與品牌核心有統一認知。<br>2.錯誤： (A)為工具協調；(B)為外部溝通；(D)為管理流程。
43,王品集團推出新品牌時，團隊先分析對手定位，接著開始「設計品牌標語與宣言」。根據整合行銷傳播之步驟，此「標語設計」屬於哪一階段？,市場和競爭對手分析,確定目標市場與定位,設計傳播訊息,擬定執行細節與預算,3,1.正確： 品牌標語與宣言屬於提煉核心價值後，針對目標市場設計的「傳播訊息」。<br>2.錯誤： (A)(B)為前置分析；(D)為具體執行規劃。
44,當產品進入「成熟期」（如經典款球鞋），銷售成長緩慢且競爭劇烈。此時該品牌的整合行銷溝通目標最應轉向何處？,建立知名度並促使試用,強化品牌偏好以擴大市佔率,穩固重複購買並建立忠誠度,減少所有行銷支出以回收成本,3,1.正確： 成熟期重心在於防禦競爭、維持市佔並透過忠誠計畫深化客群關係。<br>2.錯誤： (A)屬導入期；(B)屬成長期；(D)屬衰退期。
45,某環保洗髮精剛上市（導入期），消費者完全陌生。在預算有限下，下列哪組 IMC 工具組合最能有效「建立公信力」並「促使首購」？,電視廣告與大幅度降價,公共關係（新聞報導）與提供試用品,僅透過電子郵件進行直效行銷,停止所有行銷活動以節省成本,2,1.正確： 導入期適合利用 PR 建立社會關注，並以試用 (Sampling) 降低消費者的決策風險。<br>2.錯誤： (A)成本高且公信力較低；(C)缺乏對新客的擴散力。
46,鼎泰豐靠著高品質服務引發消費者的「口耳相傳」與「IG 自發性分享」，而非巨額廣告。這在行銷溝通中主要屬於哪類媒體？,置入性行銷,賺得媒體 (Earned Media),付費媒體 (Paid Media),自有媒體 (Owned Media),2,1.正確： 賺得媒體指非付費、非自有的第三方自發性好評、口碑或新聞報導。<br>2.錯誤： (A)是融入內容；(C)需花錢購買；(D)為自營平台。
47,某品牌手機殼因技術過時進入「衰退期」，公司決定採取「減量經營」。此時最合適的「促銷」手段為何？,大幅度折扣或清庫存式的捆綁銷售,舉辦大型明星代言人簽唱會,增加電視廣告曝光量以吸引新客,調高售價以維持品牌的高端形象,1,1.正確： 衰退期應以低成本管道清庫存，透過折扣加快銷售並回收殘餘成本。<br>2.錯誤： (B)(C)成本過高；(D)會導致庫存積壓更嚴重。
48,傳統行銷 4P 逐漸轉向以消費者為中心的 4C 架構。在整合行銷傳播的思維中，原本的「推廣 (Promotion)」轉換為對應的哪一個 4C 概念？,消費者需求 (Customer needs),成本 (Cost),溝通 (Communication),便利性 (Convenience),3,1.正確： 4P 的推廣轉化為 4C 的溝通，強調雙向互動而非單向的訊息推播。<br>2.錯誤： (A)對應產品；(B)對應價格；(D)對應通路。
49,行銷人員執行完廣告活動後發現，「點擊率 (CTR)」極高，但「轉換率 (CVR)」極低。針對此現象的情境分析，下列何者「錯誤」？,廣告素材很吸引人，成功引起注意,廣告點擊後的著陸頁 (Landing Page) 可能設計不良,廣告導流的受眾可能並非真正的目標買家,應立即調高廣告預算以解決轉換率問題,4,1.正確： 轉換率低應檢討產品力、頁面引導或客群精準度，盲目加預算無助解決轉化問題。<br>2.錯誤： (A)(B)(C)皆為合理的原因分析。
50,某知名餐廳發生食安危機，社群出現大量負評。根據品牌危機處理原則，該品牌應採取的「第一個」關鍵行動為何？,刪除所有負面評論並關閉粉專,發表誠懇透明的聲明與具體補救措施,保持沉默，直到找出所有細節再回應,轉移焦點，立即推出買一送一活動,2,1.正確： 危機處理首重「迅速回應、誠實負責、透明溝通」，以守住品牌信譽。<br>2.錯誤： (A)引發更大公憤；(C)導致商譽流失；(D)無視問題核心。
51,New Balance 公司在慢跑鞋市場取得領導地位後，決定利用既有的品牌名稱與標誌，進一步開發運動機能服飾、專業運動背包及休閒配件等全新產品線。根據品牌策略，這種「利用既有品牌背書新產品」的做法稱為？,品牌多元化策略,品牌延伸策略 (Brand Extension),品牌線性延伸 (Line Extension),品牌重新定位策略,2,1.正確： 品牌延伸是指利用既有知名度進入「新產品類別」。<br>2.錯誤： (A) 概念較籠統；(C) 是指在「同一類別」推新品（如新口味）；(D) 是改變品牌在心目中的位置。
52,2024 年可口可樂旗下的「bonaqua 怡漾」在臺灣推出 100% rPET（再生聚酯）瓶裝水，並配合校園回收教育，傳遞「每一次購買也是環境行動」的訴求。此策略最直接回應了品牌管理中的哪項目標？,降低生產成本以改善財務績效,在消費者心中強化「環境承諾」聯想並提升忠誠,提升產品在盲測中的感知品質,透過零售通路建立回收點的差異化優勢,2,1.正確： ESG 行銷旨在建立正面的品牌聯想（環境承諾），進而轉化為品牌忠誠。<br>2.錯誤： (A) 為後端效益；(C) 是物理口感認知；(D) 為通路手段而非核心品牌目標。
53,某頂級腕錶品牌在宣傳時不強調機芯的精準度（功能），而是強調佩戴者為「改變世界的領導者」或「品味的藝術贊助者」。從消費者感知價值的維度看，這主要滿足了？,功能價值中的品質面向,財務價值中的價格面向,自我表達利益 (Self-Expressive Benefits),服務特性中的無形性,3,1.正確： 自我表達利益強調品牌反映消費者的社會地位、個性與價值觀。<br>2.錯誤： (A)(B) 涉及物理屬性與金錢；(D) 是服務業的特徵。
54,Netflix 目前業務遍及全球 190 個國家。為了成功進入非英語系市場，該公司除了提供當地語言的字幕與配音，更確保「使用者介面」與「客戶支援」均以當地語言提供。這種策略在跨文化品牌管理中屬於？,標準化策略 (Standardization),本地化策略 (Localization),跨媒體整合策略,財務指標導向策略,2,1.正確： 本地化策略會根據當地市場需求與文化（如語言、偏好）調整品牌元素。<br>2.錯誤： (A) 強調全球形象與設計高度一致。
55,跨國連鎖餐飲集團麥當勞進入印度市場時，考量到當地的宗教文化與飲食禁忌，將牛肉漢堡更換為不含牛肉的品項，並推出許多在地化口味。此做法體現了全球品牌管理中的哪一個關鍵環節？,文化適應 (Cultural Adaptation),品牌一致性 (Global Consistency),品牌稀釋風險管理,品牌復興策略,1,1.正確： 文化適應是指根據不同市場文化背景，調整品牌傳播與產品內容。<br>2.錯誤： (B) 是強調全球統一；(D) 是針對老舊品牌重振。
56,某企業為其新研發的「智能健康手環」申請了品牌標誌保護。根據我國《商標法》規定，該商標權自註冊公告當日起，保護期限為幾年？且到期後是否可以展延？,10 年，且不可展延,10 年，可無限次展延，每次 10 年,20 年，可展延一次,創作者終身加上 50 年,2,1.正確： 商標權期限為 10 年，可無限展延，是唯一可永久存續的智財權。<br>2.錯誤： (D) 為著作權的保護期限。
57,台灣啤酒（台啤）因面臨品牌老化 (Brand Aging) 現象，近年透過推出水果口味啤酒、重新設計簡約包裝及與新銳藝術家聯名，成功打入年輕族群。這在品牌動態管理中稱為？,品牌縮減 (Downsizing),品牌聯盟 (Alliance),品牌重塑 (Brand Repositioning/Rebranding),品牌次級聯想 (Secondary Association),3,1.正確： 品牌重塑是針對老化品牌重新設計形象、包裝與定位，以吸引新客群。<br>2.錯誤： (A) 涉及淘汰產品線；(B) 為合作手段之一，非整體策略名稱。
58,消費者小張雖然沒買過德國汽車，但看到「德國製造」時，會自動聯想到「工藝嚴謹、安全可靠」，進而對德國品牌產生好感。這種「由產地形象轉移至品牌」的機制是？,品牌線性延伸,品牌次級聯想 (Secondary Brand Association),品牌識別系統 (CIS),整合行銷溝通 (IMC),2,1.正確： 次級聯想是透過品牌以外的實體（如公司、來源國、代言人）產生間接聯想。<br>2.錯誤： (A) 涉及產品線擴充；(C) 為視覺識別；(D) 為溝通手段。
59,迪士尼 (Disney) 公司透過合約將其「米老鼠」的角色形象授權給臺灣的玩具商生產公仔，並收取授權費用。這種擴大品牌影響力的方式屬於？,製造商品牌策略,聯合品牌策略 (Co-Branding),品牌線性延伸,授權品牌 (Licensing),4,1.正確： 授權品牌是指所有者將資產使用權授予第三方以換取許可費。<br>2.錯誤： (B) 為兩品牌共同推新品（如 Apple Watch Nike）；(C) 為同公司推相關品。
60,根據 Aaker 品牌權益模型，若消費者在看到某運動鞋品牌標誌時「認得出」它是 A 品牌，但購買時卻因為 B 品牌有買一送一而轉向，這說明 A 品牌目前的權益現況為何？,具備極高的品牌忠誠度,僅具備品牌知名度，尚未轉化為忠誠度,已擁有強大的品牌專屬資產,知覺品質已達到市場最高標準,2,1.正確： 知名度（認出）是基本門檻，但無法抵抗價格誘因說明缺乏忠誠度。<br>2.錯誤： (A) 顯然不符；(C) 專屬資產指專利或商標法保護。
